architecture,neurons_per_layer,optimizer,lr0,l2,use_dropout,batch_size,val_acc,tr_acc
A2,"[256, 128, 64]",adam,0.001,0.001,False,64,0.68,1.0
A2,"[256, 128, 64]",adam,0.001,0.001,False,32,0.65,1.0
A2,"[256, 128, 64]",adam,0.0005,0.001,False,64,0.65,0.97
A1,"[128, 64]",adam,0.001,0.001,False,64,0.64,0.93
A3,"[256, 256, 128, 64]",adam,0.0005,0.001,False,32,0.63,0.94
A1,"[128, 64]",adam,0.0005,0.001,False,32,0.63,0.93
A3,"[256, 256, 128, 64]",adam,0.001,0.001,False,64,0.62,0.92
A2,"[256, 128, 64]",adam,0.0005,0.001,False,32,0.62,0.94
A1,"[128, 64]",sgd,0.05,0.0,True,32,0.61,0.9
A3,"[256, 256, 128, 64]",adam,0.0005,0.001,False,64,0.61,0.94
A1,"[128, 64]",sgd,0.02,0.001,False,32,0.61,0.88
A3,"[256, 256, 128, 64]",adam,0.001,0.001,False,32,0.61,0.94
A2,"[256, 128, 64]",adam,0.0005,0.0,True,32,0.61,0.86
A2,"[256, 128, 64]",sgd,0.02,0.001,False,32,0.61,0.93
A2,"[256, 128, 64]",sgd,0.05,0.0,True,32,0.6,0.92
A1,"[128, 64]",sgd,0.05,0.001,False,32,0.6,0.92
A1,"[128, 64]",adam,0.0005,0.0,True,64,0.6,0.88
A1,"[128, 64]",sgd,0.05,0.0,True,64,0.6,0.93
A1,"[128, 64]",sgd,0.02,0.001,False,64,0.6,0.89
A1,"[128, 64]",adam,0.0005,0.001,False,64,0.6,0.91
A1,"[128, 64]",sgd,0.02,0.0,True,64,0.6,0.92
A1,"[128, 64]",adam,0.001,0.001,False,32,0.6,0.87
A2,"[256, 128, 64]",sgd,0.05,0.001,False,32,0.59,0.81
A2,"[256, 128, 64]",sgd,0.05,0.001,False,64,0.59,0.92
A1,"[128, 64]",adam,0.0005,0.0,True,32,0.59,0.89
A2,"[256, 128, 64]",sgd,0.02,0.001,False,64,0.59,0.93
A1,"[128, 64]",sgd,0.02,0.0,True,32,0.59,0.9
A1,"[128, 64]",sgd,0.05,0.001,False,64,0.59,0.87
A3,"[256, 256, 128, 64]",sgd,0.02,0.001,False,64,0.59,0.9
A1,"[128, 64]",adam,0.001,0.0,True,32,0.59,0.88
A2,"[256, 128, 64]",adam,0.0005,0.0,True,64,0.59,0.87
A3,"[256, 256, 128, 64]",sgd,0.05,0.001,False,64,0.58,0.86
A3,"[256, 256, 128, 64]",sgd,0.05,0.001,False,32,0.58,0.86
A1,"[128, 64]",adam,0.001,0.0,True,64,0.58,0.87
A2,"[256, 128, 64]",adam,0.001,0.0,True,64,0.58,0.82
A2,"[256, 128, 64]",adam,0.001,0.0,True,32,0.58,0.83
A2,"[256, 128, 64]",sgd,0.02,0.0,True,64,0.58,0.89
A2,"[256, 128, 64]",sgd,0.02,0.0,True,32,0.58,0.9
A2,"[256, 128, 64]",sgd,0.05,0.0,True,64,0.58,0.91
A3,"[256, 256, 128, 64]",sgd,0.02,0.001,False,32,0.57,0.88
A3,"[256, 256, 128, 64]",adam,0.001,0.0,True,32,0.47,0.68
A3,"[256, 256, 128, 64]",adam,0.0005,0.0,True,32,0.44,0.7
A3,"[256, 256, 128, 64]",adam,0.0005,0.0,True,64,0.43,0.66
A3,"[256, 256, 128, 64]",adam,0.001,0.0,True,64,0.41,0.56
A3,"[256, 256, 128, 64]",sgd,0.05,0.0,True,64,0.36,0.59
A3,"[256, 256, 128, 64]",sgd,0.05,0.0,True,32,0.33,0.53
A3,"[256, 256, 128, 64]",sgd,0.02,0.0,True,32,0.32,0.55
A3,"[256, 256, 128, 64]",sgd,0.02,0.0,True,64,0.27,0.46
